1,1,"paratiii, viralvideo, fyp, paratipage, puertorico, viral, alondrissaclipstwitch, alondrissa, fypage, fyp%E3%82%B7%E3%82%9Aviral, paratii, parati, viraltiktok",mimiprouu,76100
1,6,"@jarvishadme, trending, viral, fyp, nurse, peds, medicine, foryou, jarvishadme, comedy, jokes, spongebob",twinsicians,344700
1,12,"diamantblazi, seckoff, bball, basketball, fyp, dance, gamewin, gameday, viral, foryou, trend, floridabasketball, florida, usa, usabasketball, trio, dunk, sportstiktok",diamantblazi,70500
1,14,"fyp, foryoupage, trending, xyzbca, viral, blowthisup, fyp%E3%82%B7, nyc, relatable",rayneverlackinnnn,128500
1,15,"meme, funny, viral, fyp, xuhuong",haha567usa4,159100
1,24,"foryou, foryoupage, fyp, viral, haipefy",777biaa77,119500
1,26,"fyp, viral, relatable, foryou, xybca, foryoupage",y0spice,221100
2,6,"fyp, roblox, mcdonalds, adoptme, adoptmemcdonalds, viral, skorz5, foryou, shocked, dahood, robloxadoptme",skorz5,39000
2,13,"@nadaelgendy007, @ahmedrefaee8, viral, foryou, foryoupage, %D9%85%D8%AC%D8%B1%D8%AF_%D9%81%D9%83%D8%B1%D9%87, palistine%F0%9F%87%B5%F0%9F%87%B8%E2%99%A5%EF%B8%8F%F0%9F%87%B5%F0%9F%87%B8, %D8%A7%D9%84%D8%B4%D8%B9%D8%A8_%D8%A7%D9%84%D8%B5%D9%8A%D9%86%D9%8A_%D9%85%D8%A7%D9%84%D9%87_%D8%AD%D9%84%F0%9F%98%82%F0%9F%98%82, viraltiktok, foryou, foryoupage, viraltiktok, capcut, foryourpage, %D8%AA%D9%8A%D9%82%D8%AA%D9%88%D9%82",batmany_24,33300
2,14,"scream, ghostface, screammovie, scarymovie, horrormovie, horrortok, horror, killer, slasher, foryoupage, foryou, fyp, viral, trending, funny, xybca, pov",thehorrorslasher,90900
2,21,"roblox, robloxfyp, foryou, foryoupage, fyp, fyp%E3%82%B7%E3%82%9Aviral, dahood, dahoodvc, robloxvc, fyp%E3%82%B7",jinii.rblx,124300
2,22,"meme, memecut, fyp, flopera, foryou, trapphone, emo",primamanii,357200
2,24,"fyp, foryoupage, trending, xyzbca, viral, blowthisup, fyp%E3%82%B7, nyc, h",rayneverlackinnnn,0
3,1,"winnerkolleh_, foryoupage, viral, foryou, viral, funny, son, trend",datboiwinwin,453900
3,4,"fyp, foryou, school",ariasecret.acc,536300
3,7,"helpmeplease, %F0%9F%98%AD, fyp%E3%82%B7, computer, laptop, nohate, ineedhelpplease, lol, school, xoxo, imayoungartist, grr, %F0%9F%98%AD%F0%9F%92%80, help, 2024, kelp, skibiditoilet, ohiorizz, oogabooga, fortnitegyatt, viral, fypage, fyp%E3%82%B7%E3%82%9Aviral, fyppppppppppppppppppppppp, fypdong",adoption_pap3rs,125200
3,8,"foryoupage, foryou, fyp, xyzbca, thatguyjkye, snapchat, robloxfyp, tiktok, subwaysurfers, facebook",thatguyjkye,145400
3,9,"diamantblazi, seckoff, foryou, fyp, bball, basketball, dunk, trend, challenge, trio, florida, floridabasketball, usabasketball, usa, fyp",diamantblazi,52300
3,17,"fy, fyp, fyp%E3%82%B7%E3%82%9Aviral, viral, viralvideo, like, follow, famous",._ba33,290600
3,18,"cat, foryou, funnycat",shoppingmonkey0,0
4,2,"foryoupage, viral, 3kaidenn",3kaidenn,22700
4,4,"1xstone, trending, relatable, viral, fyp",1xstone,98200
4,5,"@kingtmoney06, fyp%E3%82%B7, trending, blowup, viral, school",thepalealaddin,0
4,6,"fyp%E3%82%B7, bestfriend, loveyou, fyp%E3%82%B7%E3%82%9Aviral, capcutapp, foryou, fyp, fypp",n1dja_,0
4,7,"fyp, tiktok, new, trendy, parati, xzyabc, fyp%E3%82%B7, love, weekend, tiktoker, trend, viral",ayoindira,840900
4,8,"famous, fyp, foryou, foryoupage, trending, makemefamous, inbenwetrust, viral, fakebody",benwentviral,0
4,9,"relatable, funny, forfun, xyzbca, foryou, foryoupage, %E0%B8%AA%E0%B8%9B%E0%B8%B5%E0%B8%94%E0%B8%AA%E0%B9%82%E0%B8%A5%E0%B8%A7%E0%B9%8C",prettyshauu,508500
4,10,"fyp%E3%82%B7, relatable, fyp, viral, xybca, jj",maritooshiesty17,74400
4,15,"fy, fyp, fyp%E3%82%B7%E3%82%9Aviral, viralvideo, viral, like, follow, famous, relatable",._ba33,0
4,24,"foryou, lgbt, wlw, fyp",xoxo.desii,94100
5,7,"floptok%F0%9F%98%8D%F0%9F%98%8D%F0%9F%98%AD%F0%9F%98%8C%F0%9F%A4%9E%F0%9F%92%85%F0%9F%92%85, flop, flopera, floptok, slay, viral, tiktok, aesthetic, stantwitter, xyzbca, fyp, foryou",favpopmoments,787200
5,8,"fyp, foryou, viral",eze.see,56100
5,9,"siblings, viral, fyp, fyp, viral, music",carter.mostar,114600
5,10,"foryoupage, fyp, emo, fyp%E3%82%B7, viral",picosamuel,89400
5,11,"fyp, relatable, foryou, hbs, xyzbca",luhmichy,790100
5,13,"fyp, viral",ybn_.niyah,623000
5,20,"fyp, foryou, foryoupage",cami22fine4you,248400
5,21,"fyp, req, foryou, xyzbca, real",1luh._.req,124300
5,26,"fyp, foryou, autism",kylie_renee7,0
5,27,"@alex_8094, parati, viral, amor",keidy.5,65600
5,29,"fyp, xybca, wockst%E2%98%85rz, axybcz, viral",.xcybaz,62100
