batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - ina,,ina.katherine,3400000,30200,226000,94700
1,1,original sound - fr0sty_rick,"fyp%E3%82%B7, relatable, trending, aylecia, blowthisup, viral, qtips",leci.bby,280200,627,15500,164
1,2,Rich gang - Sufferryanyt,,b.e.n_rl,206600,5770,16200,6788
1,3,오리지널 사운드 - ZEPETO Official,"blackfridayzepeto, capcut, blackfridayzepeto, BlackFridayZtyle, ZEPETO, Blackfriday2023, BlackFridayZepeto, ZEPETO, BlackFriday, blackfriday2023, blackfridaydeals, blackfridaysale, ootd, zepetofyp, fyp, zepetoedit, zepetopreppy, zepetofamily, imvu, roblox, sims, minecraft",zepeto.official.tt,16700,385,2438,168
1,4,original sound - SpongeBob background music,"tamponstories, tampon, fyp%E3%82%B7, fyp",._.xoxo._.16,74400,733,1724,243
1,5,Diamondz n Roses - VaporGod,,jadelidamelio,73100,166,10200,167
1,6,original sound - Logan_Peak,"siblings, fyp, viralvideo",logan_peak,2400000,5365,165900,9015
1,7,original sound - Owen Lynch,,hahowen,146600,6572,18000,704
1,8,this world is sick - Antent,"fyp, crush, viral",joshterrellclips,32299,230,4278,252
1,9,ma best friend - sophia🫡,"foryou, twins",sophia.schweik10,476400,3060,40700,3775
1,10,original sound - Miyachanel,"fyp, blowthisup, welegaltiktok, christmascarol, hoodchristmascarols",itsbigmiyaa,94600,653,23600,1912
1,11,original sound - ava 🧘‍♀️,,daisybloomss,39700,161,4531,96
2,0,"Creepy piano, ghost story horror ambient：L(1025873) - cowaii - Fear music encyclopedia",taylorswift,aja_ba,97400,12800,12900,4151
2,1,Calm (Lofi) - Faneo sound,"locreattachment, locextensions, locrepair, loc, locjourney, fyp, trending",naturalbaelocs,50400,1744,2081,1723
2,2,original sound - ArcazeCanSee,"fyp, foryou, bluelotus, spiritual, spirituality, woke, woketok, xyz",arcazecansee,17100,243,5962,671
2,3,original sound - TeacherChronicles,"teacher, teachersoftiktok, teachers, school, students, student, food, wings, wingstop, reward, teach, teaching",teacherchronicles22,1700000,13100,105000,7879
2,4,original sound - Myron Tillman,averagetonio,averagetonio,624100,2025,92600,20700
2,5,original sound - nikkabesnappin,"fyp, foryou, foryoupage",nikkabesnappin,315500,12100,29700,6120
2,6,original sound - Ms. Shirley,,lariyah.jesiree,10600,655,502,546
2,7,I write sins not tragedies_Panic At The Disco - Icy Eyes Chris,"fyp, viral, alt",thisisnotmitchell,273500,3977,20700,3509
