1,0,@albin0.x,dailydoseofpou,19800
1,1,,shawtybaeoffical_,59300
1,2,"simonghostriley, phonethrusting, cosplay",sp00k69,68600
1,3,"billieeilish, billieeilishedit, billie, eilish, fyp%E3%82%B7, foryou, foryoupage, goviralll, zyxcba, blowthisup",.iluvbillieee,258700
1,4,"fyp, fyp%E3%82%B7, siblingcheck, siblinglove%E2%9D%A4%EF%B8%8F",yourfavpiscesss444,189600
1,5,,joshhallan,57400
1,6,fy,mariaemanuelax,170400
1,7,,solo.muncher,517000
1,8,"lorax, loraxcostume, babysitter, fyp, joshhutcherson, daddyshome, gyat",joelle_94,28800
1,9,,loganluvscats,892300
1,10,,idk195307,138900
1,11,"real, phones, boothang, phones",stvrlightt86,249300
1,12,"fyp, makeup",jaily_payan26,0
1,13,"fyp, foryoupage, fy, f, viral, ifuggedyodaddy, mom, table, relatable, contrnt",ifuggedyodaddy,53200
1,14,"fypppppppppppppp, food, bestie, bestfriend, relatable",user.647767,172500
1,15,"fyp, fypppppppppppppp, roblox",your_buffshrek,313900
1,16,"blowthisup, fameous, fyp, relatable",5.star.vic,676400
1,17,,sxcorpionhoe,596400
1,18,"imuptfchallenge, fyp%E3%82%B7%E3%82%9Aviral, relatable, makemefamous, xyzcba, roblox",theoneandonlybigbertha,107700
1,19,"fypage%E3%82%B7, school, strict, viral",.abbynortonnn,577700
1,20,"fyp, elliemoore, bis",ellie.moore04,0
1,21,@cringecarter,scottkress_,93100
1,22,"hairstraightener, schoollife, 6am",tunis2acc_,0
1,23,"fyp%E3%82%B7, dance, trending, xybca, matchingfits",itsskeytel,160800
1,24,"kitty, kitten, fyp, cat",blank_the_cat,0
1,25,"randomfacts, satisfyingvideos, viral, fyp",lustraclear,191600
1,26,,jiah.khann,14600
1,27,"@karene_sps, flyp%E3%82%B7, pourtoi, trend",nawel__djmb,236500
2,0,"@.james.aep, viral, blowthisup, blowup, ae, aftereffects, fyp, fyp, edit, editor, @noemyisicool_",chaozaep,657800
2,1,,eemmygirl88,531200
2,2,,heeyhailey,512500
2,3,,asaliraniii,44300
2,4,,not_brian_nguyen,208400
2,5,"fyp, foryou, foryoupage, fyp%E3%82%B7, obese",boriqua_bby,119700
2,6,,uhhdurkk,11900
2,7,foryoupage,tonanreal,108600
