batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - Sweetpea 😍 Her,,glxxmike,3300000,19700,266200,90000
1,1,Originalton - marinas.poison,"fyp, foryou",imthe_annag,171900,835,13500,98
1,2,original sound - dayz915,"atodamadre%F0%9F%8F%A7, %F0%9F%A4%99%F0%9F%8F%BD%E2%80%BC%EF%B8%8F%F0%9F%8F%A7%E2%80%BC%EF%B8%8F%F0%9F%A4%99%F0%9F%8F%BD, dd%F0%9F%92%ABuniverse, wyoming",dayz.915,523100,3716,36600,143100
1,3,original sound - brett.michaels,"squattedtrucks, carolinatrucks, trucks, carolinasquat, diesel",brett.michaels,23100,161,4535,775
1,4,sonido original - Lunatico lyrics🌙🤎,"greenscreen, cibae%C3%B1a%E2%9D%A4%EF%B8%8F%F0%9F%87%A9%F0%9F%87%B4%F0%9F%92%99, coqueta, naguera%F0%9F%8C%B4, tierna, tierna",jlo_.g,202400,2413,17100,1058
1,5,original sound - The Real Street Family,"fyp, family, motherdaughter, relateable, mexican, latina, mom",therealstreetfamily,54400,146,3498,231
1,6,original sound - Myrkaa,"bloompartner, bloomnutrition, @bloomnu, fyp%E3%82%B7%E3%82%9A, trend, trending, teenmom, tlcunexpected, love, pink, tlc",myr.ka1612,284200,621,13100,311
1,7,original sound - alex,"@andrewemily16.official, @austano34",andrewemily16,79300,693,2476,452
1,8,so many people using this sound - .,fyp,americarodrz,1300000,8057,112100,70000
1,9,Montagem x Tacata - Kuya Magik 🪄,,mumeixxx,175200,3937,21800,1230
2,0,son original - Mohamed,"@clark_walker, teamtekos",champion_d_afrique,107500,32700,20700,45900
2,1,original sound - shEA,"littlesister, 20yearslater, 2003",likethebutterr,1200000,1969,99800,6183
2,2,original sound - House of Highlights,"momsbelike, funnymoms, boysbelike, 3amthoughts",houseofhighlights,78300,327,5012,1046
2,3,original sound - Theoratkingvon,,takeahintpookiebear,195000,455,17000,1715
2,4,original sound - Benjamin Tiffen,"tiffytoky, fyp, relatable, boys",tiffytoky,6100000,28500,573200,61300
2,5,original sound - Debbie Valdez,"fyp, foryoupage, couple, foryou, couplegoals, coupletok, couplegoals, fyp%E3%82%B7, funny, relationship, boyfriend, girlfriend, relatable",debbiekval,406800,780,39400,1313
2,6,original sound - Jay,"diamantblazi, seckoff, bball, basketball, fyp, dance, gamewin, gameday, viral, foryou, trend, floridabasketball, florida, usa, usabasketball, trio, dunk",diamantblazi,243300,1068,16600,1339
2,7,original sound - jahgotbags,"roblox, robloxfyp, vc, vctrolling, trolling, fyp, robloxvoicechat, prank, plaqueboymax",jahgotbags,134600,783,30700,645
2,8,original sound - Shlatfish,@caseohgames,shlatfish,508900,3634,70600,3293
2,9,snowfall - Øneheart & reidenshi,"jackdoherty, wholesome, fyp",jackdoherty.com,76200,307,4754,65
2,10,kardan adam yapsak senle - Esma,,actually_isaiah,90200,2292,11000,2345
2,11,original sound - AkilCurrie,"michaelmyers, michaelmyersprank, michaelmversmask, scareprank, prank, drivethruprank",akilcurrie,654200,2552,81300,4813
2,12,Let It Fly - Mr. Thank You,tiktoktrend,mr.thank_you,51400,2350,4551,642
2,13,sonido original - 𝙇𝙮𝙧𝙞𝙘𝙨𝙨𝘾𝙝𝙞𝙡𝙚𝙚,,cobe557,8853,37,485,44
2,14,original sound - Sicrepto,"mm2, roblox, funny, funnyclips, mm2funnymoments, sicrepto",sicrepto,62900,1110,16500,1415
2,15,origineel geluid - Pauline Wingelaar,"momlife, boysmom, momofboys, jongensmoeder, schoonmaken, cleaning, foryou, foryoupage, fyp, humor, @kimvanstam",paulinewingelaar,212500,1879,11400,33800
2,16,original sound - grandma_droniak,,grandma_droniak,707400,6706,30800,5853
2,17,original sound - Ginger Billy,,gingerbilly1,787100,11200,91300,95000
2,18,Emotional Piano for the Soul (Inspirational Background Music) - Fearless Motivation Instrumentals,question,1kellygeorge,35800,6891,1367,162
2,19,Suara Seram Sangat Mencekam - Kholil Buitenzorg,"facts, randomfacts, curiosity, learnontiktok, factsyoudidntknow",learndailyy,980200,110500,120300,981900
2,20,original sound - PRIME,drinkprime,drinkprime,308500,2596,19500,979
2,21,original sound - kenna,,kennamorris_,89900,1828,6674,1074
2,22,original sound - Pacosnation14,"robber, funny, fyp, meme, laughing, viral",kathamelin,50800,607,2143,1233
2,23,original sound - Holden Davenport,@ashperez201,holdendavenport,250700,11300,27100,3415
2,24,original sound - Sturdy Off,"fyp, dance, sturdyoff",sturdyoff,21400,109,2021,343
2,25,It's Tricky - RUN DMC,"fyp, bigfamily, familyof10, momof8, foryou, foryoupage, largefamily",the.queensfamily,1900000,10100,77200,17300
2,26,original sound - Bosslife Femer,"@theshowlorios, foryoupage, shoedoc, fyp",bosslifefemer5,47500,904,7076,286
3,0,original sound - Batsy🦇🕴🏽,"fyp, viraltiktok, voiceovers, powerpuffgirls, batmandontgaf",batmandontgaf,253500,1373,49500,3862
3,1,FUNKED UP by XXANTERIA and ISQ UNRELEASED - ku,@22mchmielowiec,di1araa.s,421900,2979,38600,1704
3,2,sonido original - Alex prieto 🖤🏍️,"caliatenia, glutesworkout, motivation",deysimoreno60,107000,1063,7618,1783
3,3,original sound - I love Money,,ilovemoney.078,8735,68,480,85
3,4,Jackass - TV Theme Players,"british, britishkids, americans, alchol",for.the_lol,187700,2222,21900,4298
3,5,Tyrecordslol - Tyrecordslol,,secretnaomi666,17700,95,2215,161
3,6,original sound - saraphiah,,saraphiahm,3800000,6484,251600,16100
3,7,Aesthetic - Tollan Kim,"fyp, tiktok, tvshow",zeyadeh.hetsler,779400,1359,63500,805
3,8,оригинальный звук - никто,,theaishahsofey,601000,5517,97200,3309
3,9,原聲 - JIZIFANFAN,ootd,jizifanfan,15500,32,1146,72
3,10,original sound - Josh Liljenquist,,joshlilj,551400,1443,20700,657
3,11,Time in a Bottle - Thean,"cyberpunk2077, fyp, gaming, foryou",crypticcrowx,151100,1435,16800,1449
3,12,original sound - Jo Wuensche,fyppppppppppppppppppppppp,honeybthatsme,812300,3899,44500,29000
3,13,original sound - TONY STATOVCI,"fyp, viral",rgl220,772100,2065,89600,9139
3,14,original sound - spo6kzie,,anniereaped,103000,527,10400,471
3,15,ANTISOCIAL - CRISTALE,"outnow, antisocial, brixton",cristaleyy,249800,1769,12800,1715
3,16,New Home - Frozen Silence,"@lovelymimi865, mom",jayjayhere0_0,10000000,51900,745200,92600
3,17,original sound - bri ⋆˚❀,,itssunnyy21,252100,1751,35300,5869
3,18,original sound - 703,"fyp, funny, relatable",703.naz,380600,1110,52400,3882
3,19,original sound - AfroSamuraiT,"lifehacks, lifehack, challenge, ksi, prime",afrosamuraitt,22500,391,3190,68
3,20,original sound - byisabelsanchez,"latinamotherinlaw, couples, viraldress",byisabelsanchez,9600000,24300,430200,89100
3,21,original sound - cadaea,,cadaea,117300,1868,15000,1157
3,22,اباحاه الملكة شوق - DJ Shoug,"bungoustraydogs, cosplay, bsd, bungoustraydogscosplay, chuuya, chuuyacosplay, chuuyanakahara, fyp, dance, viral",sususcosplays,70000,660,14000,812
3,23,original sound - Kj,,kjlovesdads,1400000,12600,85100,22900
3,24,DadSocial - Mason Smith,,kittylever,1900000,6514,60000,14100
3,25,original sound - masqueraded Arab,"stitch, waadytv, viral, arabic, masked, arabic",waadytv,89300,1970,5353,1167
3,26,original sound - Francesco,,frankiesfun,314500,1205,24300,1743
3,27,INJURY RELIEF CHIROPRACTIC SOUTH FLORIDA - Dr. Remix,,dr.remix,806900,5455,304000,16700
