batch,index,music,hashtag,author,likes,comments,shares,saves
3,3,original sound - spo6kzie,"trend, viralvideo, fyp%E3%82%B7%E3%82%9Aviral, fyp, funny, dance",andsheball_x12,143000,5878,18200,1028
3,13,original sound - bxby._ale,"fyp, trend, foryourpage",itsjalissaaaa_,416600,1396,67300,3291
4,11,original sound - Monique & Reese,"toddler, familytime, dance",moniqueandreese,883400,4201,96900,12200
5,14,stop humping ur cabinets - nickname,"fyp, foryou, viral, relatable, trend, xyzbca, brisbane",noahh.marcoss,2200000,9958,226700,15400
