batch,index,music,hashtag,author,likes,comments,shares,saves
2,4,Aesthetic - Tollan Kim,"fyp, foryou, gaming, saloodz, foryoupage, trending, fortnite, fortnitetips",saloodz,183900,1786,17600,398
3,12,original sound - 👁️🤢,"%E2%9D%A4%EF%B8%8F, %F0%9F%A6%A6, fyp, girlhood, pookie, fyp%E3%82%B7, fortnite, fn, foryoupage, fortnites%C3%BCchtig, dead",geht_dich_nicht_an0,57300,738,5404,634
4,10,original sound - Oxygen Esports,"@travelforfun5000, valorantfunny, funny, gamingmemes",oxg_esports,342300,2086,38100,14700
5,9,original sound - Dori,"fortnite, fortniteclips, fortnitememes, fyp",dorifnbr,221100,1560,32700,1452
