5,4,"@gloveryawn, luhprezzy, viceprezzy",ryan.mcfad,68600
5,5,"fyp, bigfamily, familyof10, momof8, foryou, foryoupage, largefamily",the.queensfamily,92700
5,6,,hika.taki329,17300
5,7,"symoneestarr%F0%9F%92%98, viralvideo, fyp%E3%82%B7",theeonly._symonee,338600
5,8,,keemokazi,74300
5,9,"dancer, lagrint, america, fyp%E3%82%B7, foryou, vibes",zoe.pzk,114600
5,10,,the.special.kid_69,77100
5,11,"fyp, figureskating, figureskater, edeaskates, foryoupage, figureskatingtiktok, lululemon, spin, iceskating, jumps, foryouu",riley_sk8tes,453600
5,12,"figureskating, iceskating, comedy, athlete",egibson007,79400
5,13,"fyp, viralvideo, blowthisup, birthday, foryoupage, viraltiktok",t0tallynotm33,96900
5,14,,brandonthel0ver,207900
5,15,,zhilxr,20100
5,16,"roblox, robloxfunny, robloxmicup, micup, micuproblox, robloxian, robloxian, robloxfyp, funnyroblox, funroblox, funnymomentsroblox, robloxmeme, robloxfunnymoments, robloxtroll, robloxtrolling, robloxtiktok, robloxvoicechat, robloxvr, robloxvrfun, robloxfunnymoments",anticlimaxjax,29800
5,17,,urmomshotgf,642900
5,18,,barkincevik,53000
5,19,"fyp, foryoupage, blowthisup, zyxcba, prodancers, tooktoolong",user975368742167,208500
5,20,fyp,seraahr,0
5,21,"xyzcba, foryoupage, notjustshane, fyppppppppppppppppppppppp, lightskinboy, viral, makemefamous, fyp",notjustshane,24900
5,22,"fyp, viralvideo, foryourpage, 0fficialair",0fficialair,299800
5,23,@djfire422,avayahnorton,230500
5,24,"fy, fyy, fyp, viral",linaxleee,64599
5,25,,welovezav5,22400
5,26,"fyp, fyp%E3%82%B7, crocs, wedding, xyzabc, yay",itz_emiii,833700
5,27,fakescenarios,maureese.eugenio,272800
1,0,original sound - ᴀʟᴇx ✧,"miss2020, coronavirus, quarantine, milliebobbybrown, foryoupage, qxenuw",sadiefeeds,242900
1,1,original sound - Luminance Medical,"fy, foryou, fypage, foryoupage, you, fyp%E3%82%B7, fyp%E3%82%B7%E3%82%9Aviral, popular, drama, tiktokmademebuyit, xybca, redlight, skincare, skincareroutine, eyebags, publicinterview, brighteyes",luminancered,0
1,2,PHONK BRASILEIRO FRESCO - DJ MOIGUS & DJ FKU,"basketballmemes, nbamemes, hoopers, hsbasketball",houseofhighlights,884900
1,3,Originalton - avanaat,"relatable, foryou, bf, Relationship, fyp%E3%82%B7, fyp",user382027103,241400
