batch,index,music,hashtag,author,likes,comments,shares,saves
1,6,,"@tragicthegreat, fortnite, fortnitefail, fortnitefunny, fortnitechapter5, fyp",,586100,5095,82900,9486
2,4,,"fyp, foryou, mariokart8deluxe, gaming, meme, memecut",,446900,2221,48800,47800
2,8,,"fyp, fortnite, fortnitesniper, gaming, viral",,1100000,15300,142800,17600
2,14,,"fortnite, fortnitememes, fortniteclips, fortniteupdate, familyguy, gaming, fyp, xtryguy",,1200000,4336,120800,11800
3,3,Aces (Sped Up Version) - dkj & sped up nightcore,"fortnite, fortnitechapter5, xpglitch, fortnitelevels, fortnitexpmaps",pzndo,683300,3717,238600,15700
