batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - RĮÅH 👾,"fortnite, fortnitememes, fortniteclips, fyp, fyp%E3%82%B7, funny, fortnitechapter5, fortniteunderground",icesqu1d5,2400000,33700,241100,82400
1,1,original sound - Shlatfish,,shlatfish,3800000,34200,571600,61300
1,2,original sound - ESPN,"@wendy.bri, snow, cold",espn,2000000,19900,170800,108600
2,0,autumn leaves - aetoul,"@trxlyaron, fyp, asianinasuit",anasianinasuit,102700,3743,15500,5583
2,1,original sound - SOPE🐧👽 - Capcut User,,slwl_cute_dog,1900000,268500,260399,55300
2,2,original sound - Evandinner 💫,,tonylopez,203900,531,18800,512
2,3,original sound - DL GANG,"dlgang, foryou",dl_gang,454000,2684,35600,6304
2,4,original sound - Mk.Dadoll_,"justice, justiceformysister%E2%9D%A4%EF%B8%8F, justiceforjournee, bigmkway, justiceformysister%E2%9D%A4%EF%B8%8F, mkandjheavelychats",mk.dadoll,59200,824,11300,139
2,5,Ick - Alt Ending - Lay Bankz,"hegavemetheew, makeuplover, trendingsound",krissleos,94100,1089,9566,644
3,0,original sound - Dermguru,"dermguru, amskincareroutine, howtolayerskincare, skincare101, dermatologist, morningskincareroutine",dermguru,73800,797,45200,3730
3,1,sonido original - Freestylenx,"taylorswift, superbowl, fyp",freestylenx,2910,32,109,38
3,2,original sound - Mr. Movie Mustknows,"superbowl, nfl, football, commercial, tv, television",mr.moviemustknows,34800,677,2304,5299
3,3,Yeah! (feat. Lil Jon & Ludacris) - Usher,"usher, superbowl, 2024",enola.bedard,16600,154,838,24
3,4,original sound - Sharon Mbabazi,,sharavinaaa,37500,965,973,947
3,5,original sound - Setaminata,"foryoupage, ubereats, fyp%E3%82%B7",setaminata,54200,573,2279,268
3,6,original sound - Male Baquero,"grwm, nyfw, , cetaphil, wedoskinyoudofashion, nyfw, generacionceta, faceofcetaphil",malebaquero,2439,19,29,7
3,7,What Was I Made For? - Billie Eilish,"superbowl, superbowlloss, 49ers",lauraedtherapy,59100,740,2501,714
3,8,original sound - Sydney Jo,"taylorswift, erastour, erastourtaylorswift, swifties, tswift, skittok",thatgirlsydjo,1500000,22700,236000,87400
3,9,original sound - Anna,"@sharavinaaa, annareportsnews, theorywithanna, cetaphil, cetaphilskincare, superbowl, superbowlsunday, superbowl2024, taylorswift, kansascity, kansascitychiefs, taylor, swift, travis, kelce, traviskelce, traviskelcetaylorswift, relationship, couple, dad, stepdad, original, bonding, cute, stolen, steal, swifties, erastour, friendshipbracelets, parent, football, nfl, travel, woman, women, callout, channels, influencer, influencers, youtubers, youtuber, youtube, youtubers, og, filming, film, scandal, controversy, drama, tea, truthtea, spillthetea, fullstory, explain, explained, bts, explaining, behindthescenes, fullstory, popculturenews, popculture, news",notannareportsnews,2131,121,117,47
