batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,Storytelling - Adriel,"fyp, viral, fortnite, fortnitepro, fortniteclips, fortniteranked, fortnitememes, fortnitetips, gaming, camnutz",camnutz_,104000,10400,8192,291
1,1,original sound - YSK Podcast 🎙️,"yskpodcast, youshouldknowpodcast",yskpodextra,364000,3665,24000,463
1,2,original sound - 🔹flaka 🔷,,lanaslifeee,29900,768,4043,72
1,3,Get In With Me - BossMan DLow,"fyp, school, chickfila",playboiitaia,140900,325,12900,400
1,4,Aesthetic - Tollan Kim,"movie, tiktok, fyp, foryou",qy.movie,510900,2195,42600,934
1,5,original sound - Sports by Playmaker,"@radialflipz, playmaker, sports",sport,1700000,12000,154700,68500
1,6,original sound - Anxietycouple,"fyp%E3%82%B7%E3%82%9Aviral, viral, fypp, target, familycomedy",anxietycouple,82400,259,7822,239
1,7,original sound - Jordan_The_Stallion8,fyp%E3%82%B7,jordan_the_stallion8,1400000,10400,199500,12800
1,8,soak city (do it) - 310babii,,asalundjadan,288500,239,16300,688
1,9,sonido original - Edgar,,vanerdd,9200000,33000,670600,179200
1,10,som original - Mandelão 48por48,"capcut, fyp, trending, foryou, roblox, quate_0",quate_0,7852,15800,1562,207
2,0,s with me - luu,"fyp%E3%82%B7, fyp, foryou, zyxcba, cd, viraltiktok, viralvideo",th3blackbarbi3,113700,156,15900,116
2,1,Funny - Gold-Tiger,"foryou, fyp",miusuu362,21400,114,2382,767
2,2,original sound - OFF™,fyp,lelasohna,27900,287,7164,482
2,3,Simple Pleasantries - Arthur Benson,"breathalyzer, breathalyzertest",stephenmakesvideos,787400,1162,36800,717
2,4,Titanic flute fail - Funny/Awesome Vids,,gomeznotselena,11300000,140200,869400,857300
2,5,AIN'T GONNA ANSWER - NLE Choppa & Lil Wayne,@gavinmagnus,lovealwayspiper,144000,3728,10100,814
2,6,World A Music - Ini Kamoze,,coral_rafa,6200000,92600,357000,125800
3,0,original sound - haleyybaylee,,mmmjoemele,3700000,27200,403500,46800
3,1,original sound - Spooky States👀,"horror, scary, creepy, spooky, haunted",spooky.states,28300,11000,8006,2500
3,2,original sound - MamaCookie,"anotherdayanotherdinner, nunezfamilyof4, nunezfamilyrealitytv, fyp, dinnerideas, breakfast, @m.vapparel, @daydreameddesignsllc, @big_sis_kris",itsmamacookie,955600,4106,131600,18500
3,3,original sound - mckinley richardson,,mckinleyrichardson,11500,60,732,18
3,4,الصوت الأصلي - ديري,"funny, fyp, trending, funnyvideo",_funny.official,1452,6,87,36
3,5,original sound - HEROIC,,heroicgg,703600,2230,77500,15000
3,6,sweet caroline but dark academia - fingerbib,"lighters, fyp%E3%82%B7, fyp, trending, lighter, viral",buypuffbuddy,7776,87,1101,76
3,7,original sound - furniture,"furniture, homedecor, furnituredesign, homemade, bedroomdesign, bedroom, fpy, bed",sweet123321furniture,776000,4855,47000,4762
3,8,original sound - Jax,"roblox, robloxfunny, robloxmicup, micup, micuproblox, robloxian, robloxian, robloxfyp, funnyroblox, funroblox, funnymomentsroblox, robloxmeme, robloxfunnymoments, robloxtroll, robloxtrolling, robloxtiktok, robloxvoicechat, robloxvr, robloxvrfun, robloxfunnymoments",anticlimaxjax,891100,3489,99800,1412
3,9,Судно (Борис Рижий) - Molchat Doma,"slavic, easterneuropean, russianguy",eduardtok,23900,296,1653,172
3,10,original sound - 𝕭𝖚𝖋𝖋𝖔𝖔𝖓,"fyp, m, love, keybaord, keyboardkeys",markzhood,393600,12000,59500,12200
3,11,original sound - PRIME,drinkprime,drinkprime,306600,2584,19400,973
3,12,original sound - jamie,"fyp, skit, memes, funny, students, studentlife, meme, viral",jamiemakescontent,120200,1195,15700,1179
3,13,"Ocarina Of Time Theme (From ""The Legend Of Zelda"") - Gaming World","fyp%E3%82%B7, viral, trending, dreads, locs",babyfxce.josh,1300000,63500,100800,6717
3,14,La Espada - Eternal Raijin,basketball,suuperbro0,25200,9108,2885,997
3,15,original sound - Cxnary,"signs, psychology, language, social, culture, education, world, country, fun, fyp, xyzbca",officialcxnary,155500,2376,27600,1310
3,16,original sound - Jay 🏴‍☠️,"roblox, singing",movkinqjay,61600,1291,14500,401
3,17,original sound - Screamer.Ballooners,"wendys, screamer, balloon",screamer.ballooners,2900000,7915,208800,27600
3,18,Originalton - Hey! Steph,"luhtyler, candyshop, heystephtv, eyelashes, eyelash, eyelashtutorial, beautytok, germany%F0%9F%87%A9%F0%9F%87%AA, luhtylerbelike, luhtyleredits",heystephtv,191000,877,14400,251
3,19,original sound - Anxietycouple,"foryoupage, trending, viral, family, ps5, boys, theboys",anxietycouple,58400,249,5606,171
3,20,original sound - Vid Effect,"videffect1, viraltiktok, drivethru, fastfood, mcdonalds, kfc, goodfood, burgers, foodtiktok, advert, worldwide, viralvideo, mustwatch, hilariousvideos, jokes, comedyvideo, funny, pranks, prank",videffect1,588600,694,47600,1930
3,21,original sound - yacka (:,@asaliraniii,jadan.s.m_zay,29700,44,1250,62
3,22,Little Life - Cordelia,"@asher.lara, @nevaaadaa, asher, nevadaaa, publicinterview, interview, fyp",tommythanhbui,14100,127,1366,25
3,23,FOLLOW ME HEHE - Birkan Tahsin,"amazinglighters, coollighters, lighter, lightsaber, uniquelighters, viral, fry",draglighters,20900,293,980,131
4,0,Originalton - darkvidez,"girlsfacts, boycode, boysfacts, girlsadvice, boys, girls, girlscode, advice, butterflies, girlslove",liamadvice3,18500,549,4204,574
4,1,Love songs - ⭐️,,emresuveren,2100000,13300,235700,45700
4,2,passionfruit - ✩,fyp,littlemissscorpioo_,446500,2340,25800,418
4,3,ICEWHORE! - Lumi Athena,,m6xence__,40000,936,5768,623
4,4,original sound - The Mannii Show,freecomedy,the_mannii,52300,417,10600,763
4,5,Blade Runner 2049 - Synthwave Goose,,jumpersthe0ries,7504,49,700,79
4,6,WHIP! - Tayo Ricci,,tayoricci,17000,45,882,10
4,7,Originalton - Memes🔥,"foryou, f%C3%BCrdich, food, viral, india, chicken, fyp",bratan.32,297000,1325,33200,6345
4,8,الصوت الأصلي - ديري,"fyp, funnyvideo, funny, trending",_funny.official,13600,70,916,487
4,9,original sound - KEEMOKAZI,,keemokazi,229800,711,10200,223
4,10,original sound - King,"aelfriceden, aelfricedenfamily, outfit, ootd, aelfricedenco",skate.king,462,6,66,0
4,11,sweet caroline but dark academia - fingerbib,,jetblastx0,21700,568,3870,409
