batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - ESPN,"@wendy.bri, snow, cold",espn,2000000,19900,170800,108600
1,1,original sound - 🤟🏻Jurassic world🤟🏻,"volcano, mashedpotatovolcano, mashedpotatovolcanowithbroccolitrees, yummy, @wesintn",hayleyintn,755700,9319,81500,80500
1,2,original sound - HaliHali444,"fyp%E3%82%B7, viral, nilesneumann",dat.kid_niles,109900,418,10300,371
1,3,orijinal ses - Deniz,fyp,aegunes,2400000,18100,356500,56900
1,4,original sound - Greyyy⚜️,"blowthisup, fyp%E3%82%B7%E3%82%9Aviral, fyp%E3%82%B7, trending",__.gr3y,112800,2877,13500,5317
1,5,original sound - Andie Elle,,xxandieelle,14400,107,1723,25
1,6,оригинальный звук - ssabyrovaaa _,itss_thandooo,itss_thandooo_,204800,816,5806,479
1,7,original sound - ken,"fiance, jmu",kennedyyxx,191100,505,8516,878
1,8,original sound - izzy,"colbybrock, colbybrockedit, fyp, viralvideo, blowup, xyz, xplrizz",xplrizz,257600,5372,84700,5627
1,9,original sound - fanumsgyattpeekingclub,,itsari.aleise,445900,473,21300,207
2,0,orijinal ses - caner,"takelookmygirlfriend, fyp%E3%82%B7%E3%82%9Aviral, viralvideo, doratheexplorer, fyp%E3%82%B7%E3%82%9A, jayjay, foryoupage, fyp%E3%82%B7, rizz",lauren__jayden,1800000,30600,233400,61400
2,1,original sound - -Mɪʟʟɪᴇ 🫶🏾-,"judgeattack, fnaf, foxyfnaf, lifesentence, judge, judgegetsowned, fyp, fyp%E3%82%B7, edit, fivenightsatfreddy, sh4d0wz_, @chadthefur, @vspxspecter, @koowisthebest, @cynz.rr, @jess28hk, @glammroxx, @sharptonicz, @lun1tic, @atrixaep, @aft9n, @f7ntime, @sinwwyo, @suku.nas_vessel",sh4d0wz._,638400,5184,121400,8864
2,2,original sound - Ashley Gutermuth,"husband, agedifference, agegap, wife, cook",ashgutermuth,52000,89,1274,389
2,3,original sound - Cribvibes,"fyp, cart, penjamin, pen, pengriffey, pintrest, hondacivic",mynamesmekye,7100,54,566,124
2,4,Don't Go Insane - DPR IAN,,kurapikarmin,88100,357,7146,406
2,5,Things do to by Alex G - Music :),"sonic, tails, sonicovamovie, milestailsprower, sonictheheadgehog",astywasty.xoxo,49100,665,13800,490
2,6,original sound - Kiki ☽☾,"ticciwork, ticcitoby, creepypasta, creepypastafanart, creepypastaart, creepypastafandom, creepypastaanimatic, clockwork, clockworkcreepypasta, natalieoulette, tobyrogers, tobiaserinrogers, ticcitobyxclockwork, clockworkxticcitoby",crushedsweetz,22500,274,5786,225
