1,0,,reekontools,637200
1,1,"fyp, steffnyc, foryou, viral",steffnyc_,756200
1,2,"fyp%E3%82%B7, relatable, trending, aylecia, blowthisup, viral, qtips",leci.bby,278600
1,3,,celest.t27,118300
1,4,"fyp%E3%82%B7, foryoupage, foryou, fyp, tiktok",elisa.blla,367600
1,5,,Griffith-,20300
1,6,"foryoupage, tiktok, fyp%E3%82%B7, viral, jheneaiko, trend, foryou, fyy",secret4eve,172000
1,7,"highlights, fyp, highlights, fyp, highlights, highlights, highlights, highlights, highlights, highlights, highlights, highlights, fyp, fyp, foryouuu, foryouuuu, fyp, fyp%E3%82%B7",adoree.latrice,269600
1,8,"chickfila, foodie, fyp%E3%82%B7%E3%82%9Aviral, fyp",iiheart._faeept2,234300
1,9,@grxdience,poppy_hildebrand,320900
1,10,"tomkaulitz, tokiohotel, tokiohoteledit, editor, videostarpro, foryou, 2000er, kaulitz, k3aulitzz, tomkaulitzedit, foryoupage, y2k",k3aulitzz,140500
2,0,"fyp, ootd, gf, drip, trippnyc, @kaidancexx",t7ierr,39200
2,1,,rkempiiree,97000
2,2,"@airup, fyp",xtiana7x,112400
2,3,"sanrio, hellokitty, hellokittylover, euphoricluv, hellokittyandfriends, hellokittytracksuit",euphoricluvco,57900
2,4,,lanaslifeee,126800
2,5,monstersinc,mckenzibrooke,74900
2,6,"makesureitsonlow, buzz, straightener, 400degrees, straighteninghair",theyyluvvlyric_,172400
2,7,@uprep.ru,mommyyjoshuaa,45900
2,8,"fyp, paratii",lukehndxd_,51100
2,9,,stephenmakesvideos,26600
2,10,"foryou, fyp, bhadbhabie, fyp%E3%82%B7, xyzbcafyp%E3%82%B7, foryou, fyp%E3%82%B7, getonthefyp, fyp, foryou, fyp%E3%82%B7, xyzbcafyp%E3%82%B7, real, wockst%E2%98%85rz",cassidyrosee__,0
2,11,"jakewebber, jakewebberedit, jakeandjohnnie, fyp, brocktilldawn, videostar",brocktilldawn,292400
2,12,,k_hyuuga0323,20000
2,13,"fyp%E3%82%B7, viral, foryoupage",youcantfindalex,200500
2,14,"sugarhillkeem, keem, sugarhill, sugarhillddot, ddot, ddotsugarhill, sturdy, edit, explore, foryou",noddi_edits,67100
2,15,"fyp, trending, stress, grwm",its.lenas.life,910300
2,16,"sturniolotriplets, sturniolotripletsedit, fyp, viral",m4tta8,76200
2,17,"@plutojude, fyp%E3%82%B7, fyypppp, fyp, 2023, fyp, happybirthday, rip, miraculous, resemblance, dance, star, mmhhhviande, mhviande",la_tsuyu_qui_dessine,361000
2,18,,skyyjade,77800
2,19,,tori.m992,28900
2,20,"fyp, fyp%E3%82%B7",mont3s__,220800
2,21,,yojaseena,124800
2,22,,elm0zwrldspam,62400
2,23,"foryou, fyp, djangelx",dj.angelx,259300
2,24,,viola.zct,10200
2,25,,chanezphim,225400
2,26,,branquinhasof,91800
3,0,,wh0rillaz,86700
3,1,"foryou, roblox, dahood",arabdhian,12300
3,2,"chainsfr, animated, school, foryou",chainsfrtokss,217700
3,3,,mxya._07,41000
3,4,@ogbbrunoo,rahipohatu,206300
3,5,,meeynara,110500
3,6,"rosie02, fyp%E3%82%B7, cute, trend, school, beauty, selflove, girls, fyp%E3%82%B7%E3%82%9Aviral, hair, makeup",r.rosie02,0
3,7,,evmhl_,143600
3,8,"bartendersoftiktok, surferthebar",surferthebarjax,33900
3,9,"foryou, fyp, viral, goviral",uwantsophie,472800
3,10,fyp,poohbeardontgaf,139600
3,11,"@lazyaperson, %ED%82%A4%EC%9C%B5, ohio, sus",95keeyong,0
3,12,maureeseeugenio,maureese.eugenio,130199
3,13,,uhhdurkk,21400
3,14,,alexisclaxton2,145100
3,15,getwellsoon,creamychristiaan,0
3,16,"fyp, foryou, foryoupage, hair, redhair, funny, unevenhair, fluffyhair, emo, emoboy",ashie.graverose,131100
3,17,"breathalyzer, breathalyzertest",stephenmakesvideos,202300
3,18,,snoopdogg,0
3,19,"fyp, brother, xybza, siblings",mal5327,441400
3,20,08,mr.sweet_tea,268000
3,21,,symonneharrisonofficial,30400
3,22,"fyp, %E6%B5%85%E8%B7%B3%E4%B8%80%E4%B8%8B, xixi, fernwang, le",.20003780,456800
3,23,"salad, fyp",bigweeweeeeeee,521000
3,24,,lurkinatmidnight,37900
3,25,,skykatz,270700
3,26,,notkadnmckinney,192900
4,0,"foryou, funny, trending, trend, viral, fyp%E3%82%B7",jta.official0,162800
4,1,,diamantblazi,25800
4,2,"soccer, basketball, math, school, fyp",camis._.spam,170000
4,3,"peanutbuttertok, peanutbutter, peanut, foryoupage",nutterbuttergear,14500
4,4,dodoikarma,dodoikarma,21200
4,5,,softyxeva,25600
