batch,index,music,hashtag,author,likes,comments,shares,saves,video_id
5,1,original sound - clips.theboondocks,"desireerenaemarie, fyp",desireerenaemarie,600800,4926,34900,4061,-1
5,2,geeeehht em - tyyslatt,"fyp, foryoupage, trending, xyzbca, viral, blowthisup, fyp%E3%82%B7, nyc, relatable",rayneverlackinnnn,2775,7975,351,16,-1
5,3,original sound - The Creatives,"@chantellerose_, @funarios, @blairelikethewitch, @itsalondraamore",thecreatives4eva,165500,627,7801,2011,-1
5,5,nhạc nền - us.cominghome.99,"cominghome, surprise, soldiercominghome, military, viralvideo, fyp",us.cominghome.99,98100,649,7984,1836,-1
5,7,original sound - ⚡️,"fyp, fyp%E3%82%B7, xyzabc, schooltt, relatalk, redtecguy, real, xzyabc, plzzgovirl, funnyasl, dreadhead, plzmakemefamouse, viral, goviraltiktok",datboijb6,1600000,4076,190400,6519,-1
5,9,original sound - Banana360VR,"capcut, gorillatag, vr, monkeys",banana360_vr,415,54,64,2,-1
5,10,original sound - BOOM2FUNNY,"reels, shorts, boom2funny, viralvideos, foryou, fyp",boom2funny1,27800,791,2297,1194,-1
5,11,original sound - Viper,"fyp, school, funny",usersnon83yi94,119300,1370,19200,1637,-1
5,13,original sound - Duncan Joseph,,duncanyounot,503400,3689,38800,2471,-1
5,15,Not Allowed (Slowed + Reverb) - Kapa Boy,,7realaf,1200000,18300,93700,19600,-1
5,16,original sound - The Mannii Show,themannii,the_mannii,32400,324,3759,478,-1
5,20,оригинальный звук - Махвин,,gdemoisiski,132600,408,10100,486,-1
5,22,u better f me like u mean it - 𝖗𝖏 ☆,@povlissaa,sihle_moye,19900,171,1022,210,-1
5,25,Nga - ★ ims,"fyp, dontletthisflop",motherdami,44200,889,4695,430,-1
5,26,Your number - 𝐋’🎧✰,,yammeislitt,7527,80,803,58,-1
5,27,kai bomboclaat - 6’2 with dreads btw,"wwe, childhood, nostalgia, relatable, funny, siblings",the.swaggyb,583700,1431,66900,6925,-1
